Station Name,Station No.,First Date,Line(s),Edition
Abbey Road,26,23/09/2020,DLR,ϙ3
All Saints,34,23/09/2020,DLR,ϙ3
Bank,1,13/12/2019,DLR,ϙ1
Beckton,18,23/09/2020,DLR,ϙ3
Beckton Park,15,23/09/2020,DLR,ϙ3
Blackwall,8,23/09/2020,DLR,ϙ3
Bow Church,31,23/09/2020,DLR,ϙ3
Canary Wharf,5,13/12/2019,DLR,ϙ1
Canning Town,10,23/09/2020,DLR,ϙ3
Crossharbour,38,23/09/2020,DLR,ϙ3
Custom House for ExCeL,12,23/09/2020,DLR,ϙ3
Cutty Sark for Maritime Greenwich,41,23/09/2020,DLR,ϙ3
Cyprus,16,23/09/2020,DLR,ϙ3
Deptford Bridge,43,23/09/2020,DLR,ϙ3
Devons Road,32,23/09/2020,DLR,ϙ3
East India,9,23/09/2020,DLR,ϙ3
Elverson Road,44,23/09/2020,DLR,ϙ3
Gallions Reach,17,23/09/2020,DLR,ϙ3
Greenwich,42,23/09/2020,DLR,ϙ3
Heron Quays,36,23/09/2020,DLR,ϙ3
Island Gardens,40,23/09/2020,DLR,ϙ3
King George V,22,23/09/2020,DLR,ϙ3
Langdon Park,33,23/09/2020,DLR,ϙ3
Lewisham,45,23/09/2020,DLR,ϙ3
Limehouse,3,13/12/2019,DLR,ϙ1
London City Airport,21,23/09/2020,DLR,ϙ3
Mudchute,39,23/09/2020,DLR,ϙ3
Pontoon Dock,20,23/09/2020,DLR,ϙ3
Poplar,7,23/09/2020,DLR,ϙ3
Prince Regent,13,23/09/2020,DLR,ϙ3
Pudding Mill Lane,30,23/09/2020,DLR,ϙ3
Royal Albert,14,23/09/2020,DLR,ϙ3
Royal Victoria,11,23/09/2020,DLR,ϙ3
Shadwell,2,13/12/2019,DLR,ϙ1
South Quay,37,23/09/2020,DLR,ϙ3
Star Lane,24,23/09/2020,DLR,ϙ3
Stratford ,28,23/09/2020,DLR,ϙ3
Stratford High Street ,27,23/09/2020,DLR,ϙ3
Stratford Int'l ,29,23/09/2020,DLR,ϙ3
Tower Gateway ,6,23/09/2020,DLR,ϙ3
West Ham ,25,23/09/2020,DLR,ϙ3
West India Quay ,35,23/09/2020,DLR,ϙ3
West Silvertown ,19,23/09/2020,DLR,ϙ3
Westferry ,4,13/12/2019,DLR,ϙ1
Woolwich Arsenal ,23,23/09/2020,DLR,ϙ3
Acton Central,5,01/02/2020,North London,ϙ2
Bruce Grove,10,01/02/2020,Lea Valley,ϙ2
Clapham Junction,13,02/02/2020,North London,ϙ2
Gunnersbury,7,01/02/2020,North London,ϙ2
Imperial Wharf,12,02/02/2020,North London,ϙ2
Kensington (Olympia),2,13/12/2019,North London,ϙ1
Kew Gardens,8,01/02/2020,North London,ϙ2
Richmond,9,01/02/2020,North London,ϙ2
Seven Sisters,11,01/02/2020,Lea Valley,ϙ2
Shepherd's Bush,3,13/12/2019,North London,ϙ1
South Acton,6,01/02/2020,North London,ϙ2
West Brompton,1,13/12/2019,North London,ϙ1
Willesden Junction,4,01/02/2020,North London,ϙ2
Acton Main Line,2,13/12/2019,,ϙ1
Ealing Broadway,3,13/12/2019,,ϙ1
Paddington,1,13/12/2019,,ϙ1
Aldgate,60,31/01/2020,Circle,ϙ2
Angel,101,23/09/2020,Northern,ϙ3
